knot_type,n_x,n_y,n_z,phi_x,phi_y,phi_z,min_reach,max_reach,bars_list
lissajous,5,7,8,0,1,1,0.00956832,0.03639993,[1.5707963267948966, 4.71238898038469]
lissajous,5,7,9,1,1,1,0.00421365,0.03884957,[1.5707963267948966, 4.71238898038469]
lissajous,5,7,9,1,0,1,0.01061041,0.03760032,[1.5707963267948966, 4.71238898038469]
lissajous,5,7,9,0,1,1,0.00962495,0.03790534,[1.5707963267948966, 4.71238898038469]
lissajous,5,7,11,1,1,0,0.00872185,0.04293706,[1.5707963267948966, 4.71238898038469]
lissajous,5,7,11,0,1,1,0.00995573,0.04270666,[1.5707963267948966, 4.71238898038469]
lissajous,5,8,9,1,0,1,0.00432873,0.03956842,[1.5707963267948966, 4.71238898038469]
lissajous,5,8,9,0,1,1,0.00874904,0.04052734,[1.5707963267948966, 4.71238898038469]
lissajous,5,9,11,0,1,1,0.0084973,0.04654359,[1.5707963267948966, 4.71238898038469]
lissajous,6,7,11,1,1,1,0.01035535,0.04463061,[1.5707963267948966, 4.71238898038469]
lissajous,6,7,11,1,1,0,0.00785496,0.04423719,[1.5707963267948966, 4.71238898038469]
lissajous,7,8,9,1,1,1,0.00428713,0.04366887,[1.5707963267948966, 4.71238898038469]
lissajous,7,8,9,1,0,1,0.01140975,0.04173991,[1.5707963267948966, 4.71238898038469]
lissajous,8,9,11,0,1,1,0.01029236,0.05032804,[1.5707963267948966, 4.71238898038469]
