knot_type,n_x,n_y,n_z,phi_x,phi_y,phi_z,min_reach,max_reach,bars_list
lissajous,2,3,5,0,0,1.5707963267948966,0.09470765,0.30901699,[]
lissajous,1,2,3,0,0,1.5707963267948966,0.06882214,0.2225888,[]
lissajous,1,3,5,0,0,1.5707963267948966,0.09026983,0.30664126,[]
