knot_type,n_x,n_y,n_z,phi_x,phi_y,phi_z,bars_list,min_reach,max_reach
lissajous,2,3,5,1.5707963267948966,1.5707963267948966,0,[],0.00343946,0.018225
lissajous,2,3,5,1.5707963267948966,0,1.5707963267948966,[],0.00343946,0.018225
lissajous,2,3,7,1.5707963267948966,1.5707963267948966,0,[],0.00442218,0.02413423
lissajous,2,3,7,1.5707963267948966,0,1.5707963267948966,[],0.00442218,0.02413423
lissajous,2,3,11,1.5707963267948966,1.5707963267948966,0,[],0.00308738,0.03604143
lissajous,2,3,11,1.5707963267948966,0,1.5707963267948966,[],0.00308738,0.03604143
lissajous,2,5,7,1.5707963267948966,1.5707963267948966,0,[],0.00348375,0.02686663
lissajous,2,5,7,1.5707963267948966,0,1.5707963267948966,[],0.00348375,0.02686663
lissajous,2,5,9,1.5707963267948966,1.5707963267948966,0,[],0.00552219,0.03258585
lissajous,2,5,9,1.5707963267948966,0,1.5707963267948966,[],0.00552219,0.03258585
lissajous,2,5,11,1.5707963267948966,1.5707963267948966,0,[],0.00572959,0.03819343
lissajous,2,5,11,1.5707963267948966,0,1.5707963267948966,[],0.00572959,0.03819343
lissajous,2,7,9,1.5707963267948966,1.5707963267948966,0,[],0.00356594,0.03567131
lissajous,2,7,9,1.5707963267948966,0,1.5707963267948966,[],0.00356594,0.03567131
lissajous,2,7,11,1.5707963267948966,1.5707963267948966,0,[],0.00503277,0.04099039
lissajous,2,7,11,1.5707963267948966,0,1.5707963267948966,[],0.00503277,0.04099039
lissajous,2,9,11,1.5707963267948966,1.5707963267948966,0,[],0.00363792,0.04448807
lissajous,2,9,11,1.5707963267948966,0,1.5707963267948966,[],0.00363792,0.04448807
lissajous,3,4,5,1.5707963267948966,1.5707963267948966,0,[],0.00853306,0.02089365
lissajous,3,4,5,0,1.5707963267948966,1.5707963267948966,[],0.00853306,0.02089365
lissajous,3,4,7,1.5707963267948966,1.5707963267948966,0,[],0.003493,0.02532167
lissajous,3,4,7,0,1.5707963267948966,1.5707963267948966,[],0.003493,0.02532167
lissajous,3,4,11,1.5707963267948966,1.5707963267948966,0,[],0.00807102,0.03709867
lissajous,3,4,11,0,1.5707963267948966,1.5707963267948966,[],0.00807102,0.03709867
lissajous,3,5,8,1.5707963267948966,0,1.5707963267948966,[],0.00347384,0.02962752
lissajous,3,5,8,0,1.5707963267948966,1.5707963267948966,[],0.00347384,0.02962752
lissajous,3,7,8,1.5707963267948966,0,1.5707963267948966,[],0.00643874,0.03387738
lissajous,3,7,8,0,1.5707963267948966,1.5707963267948966,[],0.00643874,0.03387738
lissajous,3,7,10,1.5707963267948966,0,1.5707963267948966,[],0.00349052,0.03832713
lissajous,3,7,10,0,1.5707963267948966,1.5707963267948966,[],0.00349052,0.03832713
lissajous,3,8,11,1.5707963267948966,1.5707963267948966,0,[],0.00348162,0.0427019
lissajous,3,8,11,0,1.5707963267948966,1.5707963267948966,[],0.00348162,0.0427019
lissajous,3,10,11,1.5707963267948966,1.5707963267948966,0,[],0.0053346,0.04668694
lissajous,3,10,11,0,1.5707963267948966,1.5707963267948966,[],0.0053346,0.04668694
lissajous,4,5,7,1.5707963267948966,1.5707963267948966,0,[],0.0091722,0.029084
lissajous,4,5,7,1.5707963267948966,0,1.5707963267948966,[],0.0091722,0.029084
lissajous,4,5,9,1.5707963267948966,1.5707963267948966,0,[],0.00348396,0.03230296
lissajous,4,5,9,1.5707963267948966,0,1.5707963267948966,[],0.00348396,0.03230296
lissajous,4,5,11,1.5707963267948966,1.5707963267948966,0,[],0.00565892,0.03924046
lissajous,4,5,11,1.5707963267948966,0,1.5707963267948966,[],0.00565892,0.03924046
lissajous,4,7,9,1.5707963267948966,1.5707963267948966,0,[],0.01106814,0.03749792
lissajous,4,7,9,1.5707963267948966,0,1.5707963267948966,[],0.01106814,0.03749792
lissajous,4,7,11,1.5707963267948966,1.5707963267948966,0,[],0.00348119,0.04085052
lissajous,4,7,11,1.5707963267948966,0,1.5707963267948966,[],0.00348119,0.04085052
lissajous,4,9,11,1.5707963267948966,1.5707963267948966,0,[],0.01245372,0.04608087
lissajous,4,9,11,1.5707963267948966,0,1.5707963267948966,[],0.01245372,0.04608087
lissajous,5,6,7,1.5707963267948966,1.5707963267948966,0,[],0.01150425,0.03038317
lissajous,5,6,7,0,1.5707963267948966,1.5707963267948966,[],0.01150425,0.03038317
lissajous,5,6,11,1.5707963267948966,1.5707963267948966,0,[],0.00350397,0.03933853
lissajous,5,6,11,0,1.5707963267948966,1.5707963267948966,[],0.00350397,0.03933853
lissajous,5,7,8,1.5707963267948966,0,1.5707963267948966,[],0.01012123,0.03552387
lissajous,5,7,8,0,1.5707963267948966,1.5707963267948966,[],0.01012123,0.03552387
lissajous,5,8,9,1.5707963267948966,1.5707963267948966,0,[],0.0118318,0.04016399
lissajous,5,8,9,0,1.5707963267948966,1.5707963267948966,[],0.0118318,0.04016399
lissajous,5,8,11,1.5707963267948966,1.5707963267948966,0,[],0.01436099,0.04312553
lissajous,5,8,11,0,1.5707963267948966,1.5707963267948966,[],0.01436099,0.04312553
lissajous,6,7,11,1.5707963267948966,1.5707963267948966,0,[],0.00882407,0.04386898
lissajous,6,7,11,1.5707963267948966,0,1.5707963267948966,[],0.00882407,0.04386898
lissajous,7,8,9,1.5707963267948966,1.5707963267948966,0,[],0.01653506,0.04091965
lissajous,7,8,9,0,1.5707963267948966,1.5707963267948966,[],0.01653506,0.04091965
lissajous,7,8,11,1.5707963267948966,1.5707963267948966,0,[],0.01382679,0.04738343
lissajous,7,8,11,0,1.5707963267948966,1.5707963267948966,[],0.01382679,0.04738343
lissajous,7,9,10,1.5707963267948966,0,1.5707963267948966,[],0.01190249,0.04556163
lissajous,7,9,10,0,1.5707963267948966,1.5707963267948966,[],0.01190249,0.04556163
lissajous,7,10,11,1.5707963267948966,1.5707963267948966,0,[],0.01039159,0.05002932
lissajous,7,10,11,0,1.5707963267948966,1.5707963267948966,[],0.01039159,0.05002932
lissajous,8,9,11,1.5707963267948966,1.5707963267948966,0,[],0.01153186,0.04922586
lissajous,8,9,11,1.5707963267948966,0,1.5707963267948966,[],0.01153186,0.04922586
