lissajous,1,3,10,0,0,np.pi/2,[]
lissajous,2,2,9, 0,np.pi/2,0,[]
lissajous,2,3,8, 0,0,np.pi/2,[]
lissajous,2,4,7, 0,np.pi/2,0,[]
lissajous,2,5,6, 0,0,np.pi/2,[]
lissajous,3,4,7, 0,0,np.pi/3,[]
lissajous,3,7,10,0,0,np.pi/2,[]
lissajous,3,7,10,0,0,np.pi/5,[]
lissajous_4,5,6, 0,0,np.pi/3,[]
lissajous,4,5,7, 0,0,np.pi/5,[]
lissajous,4,5,7, np.pi/5,0,0,[]
lissajous,4,6,7, np.pi/2,0,0,[]
lissajous,4,7,9, np.pi/3,0,0,[]
lissajous,5,6,8, 0,np.pi/3,0,[]
lissajous,5,6,8, 0,np.pi/7,0,[]
lissajous,7,9,10,0,0,np.pi/2,[]
